Equipo,Jugados,Sets_Jugados,Total_Puntos,Break_Puntos,Puntos_Ganados,Puntos_Perdidos,Total_Saque,Puntos_Saque,Error_Saque,Puntos_por_set_Saque,Efic_Saque,Total_Recepcion,Error_Recepcion,Negativo_Recepcion,Positivo_Recepcion,Excelente_Recepcion,Efic_Recepcion,Total_Ataque,Error_Ataque,Ataque_Bloqueado,Positivo_Ataque,Excelente_Ataque,Efic_Ataque,Toque_Red_Bloqueo,Puntos_de_Bloqueo,Puntos_Set_Bloqueo,id_equipo,temporada
Rio Duero Soria,30,109,1752,671,1081,669,2526,156,489,1.4,-13.0,1942,123,462,672,35.0,28.0,2852,232,239,1353,47.0,31.0,377,243,2.2,9-2022-2023,2022-2023
Guaguas,29,97,1735,781,954,965,2366,177,355,1.8,-8.0,1511,80,432,517,34.0,29.0,2424,173,164,1312,54.0,40.0,297,248,2.6,5-2022-2023,2022-2023
CV Teruel,28,102,1635,615,1020,763,2360,111,376,1.1,-11.0,1798,109,453,486,27.0,21.0,2577,208,179,1252,49.0,34.0,413,272,2.7,8-2022-2023,2022-2023
CV Melilla,27,96,1570,613,957,679,2230,115,351,1.2,-11.0,1729,119,429,658,38.0,31.0,2537,216,205,1191,47.0,30.0,344,264,2.8,7-2022-2023,2022-2023
Conqueridor Valencia,25,94,1539,566,973,628,2130,129,328,1.4,-9.0,1783,112,464,548,31.0,24.0,2597,237,234,1196,46.0,28.0,328,214,2.3,6-2022-2023,2022-2023
Unicaja Almeria,25,91,1438,558,880,557,2064,128,362,1.4,-11.0,1694,103,431,515,30.0,24.0,2362,199,217,1053,45.0,27.0,386,257,2.8,11-2022-2023,2022-2023
Arenal Emeve,24,86,1310,442,868,449,1854,95,260,1.1,-9.0,1664,118,501,479,29.0,22.0,2402,246,237,1057,44.0,24.0,152,158,1.8,1-2022-2023,2022-2023
Barca Voleibol,24,84,1294,457,837,434,1874,116,381,1.4,-14.0,1578,130,402,536,34.0,26.0,2093,182,167,998,48.0,31.0,187,180,2.1,2-2022-2023,2022-2023
Voley Palma,22,83,1239,390,849,365,1790,76,291,0.9,-12.0,1656,110,415,535,32.0,26.0,2382,223,250,1001,42.0,22.0,101,162,2.0,3-2022-2023,2022-2023
Manacor,22,77,1201,447,754,476,1701,107,245,1.4,-8.0,1491,124,389,567,38.0,30.0,2038,167,189,906,44.0,27.0,148,188,2.4,4-2022-2023,2022-2023
Voley Textil Santanderina,22,75,1010,307,703,297,1488,70,202,0.9,-9.0,1562,115,493,491,31.0,24.0,2044,237,159,788,39.0,19.0,216,152,2.0,12-2022-2023,2022-2023
Rotogal Boiro,22,72,910,276,634,92,1390,69,239,1.0,-12.0,1479,116,482,543,37.0,29.0,1942,242,221,718,37.0,13.0,69,123,1.7,10-2022-2023,2022-2023
